Precinct,Shifts ,Cut
1124,2,
1125,2,
1126,2,
1127,2,Y
1128,2,
1129,2,Y
1131,2,
1132,2,
1133,2,
1134,2,
1135,2,
7021,2,
7022,2,
7028,2,Y
7029,2,
7031,2,
7036,2,Y
7037,2,
7051,2,Y
7501,2,Y
7502,2,Y
7503,2,Y
7504,2,Y
7505,2,Y
7506,2,
7507,2,Y
7508,2,Y
7509,2,Y
7511,2,Y
7512,2,Y
7513,2,Y
7514,2,Y
7515,2,Y
7516,2,Y
7517,2,Y
7518,2,Y
7519,2,Y
7521,2,Y
7522,2,Y
7523,2,Y
7803,2,Y
7804,2,
7805,2,Y
7806,2,Y
7807,2,Y
7811,2,Y
7812,2,Y
7813,2,
7814,2,Y
7815,2,
7816,2,
7817,2,
7822,2,
7824,2,
7825,2,
7829,2,
7831,2,
7833,2,
7834,2,
7835,2,
7837,2,
7839,2,
7841,2,
7842,2,
7843,2,
7844,2,
7845,2,
7901,2,Y
7902,2,Y
7903,2,Y
7904,2,Y
7905,2,Y
7906,2,Y
7907,2,Y
7908,2,Y
7909,2,Y
7911,2,
7912,2,
7913,2,
7914,2,
7915,2,
7916,2,
7917,2,
7918,2,
7919,2,
7921,2,
7922,2,
7923,2,
7924,2,
7925,2,
7926,2,
7927,2,
7928,2,
7929,2,
7931,2,
7932,2,
7933,2,
7934,2,
7935,2,
7936,2,
7937,2,
7938,2,
7939,2,
7941,2,
7942,2,Y
7943,2,Y
7944,2,Y
7945,2,Y
7946,2,Y
7947,2,Y
7948,2,Y
7949,2,Y
9113,2,
9114,2,
9115,2,
9116,2,
9117,2,
9118,2,
9128,2,Y
9129,2,
9131,2,
9132,2,Y
9142,2,Y
9143,2,Y
9144,2,
9501,2,Y
9502,2,Y
9503,2,Y
9504,2,Y
9505,2,Y
9506,2,Y
9507,2,Y
9508,2,Y
9509,2,Y
9511,2,Y
9512,2,
9513,2,
9701,2,Y
9702,2,Y
9703,2,Y
9704,2,Y
9705,2,Y
9706,2,Y
9707,2,Y
9711,2,
9712,2,
9713,2,
9801,2,
9802,2,
9803,2,
9804,2,
9805,2,
9806,2,